2026-05-13 20:29:01 | INFO     | api.main | LogManager initialized. Logs: logs
2026-05-13 20:29:01 | INFO     | api.main | Retention: 15 days
2026-05-13 20:29:01 | INFO     | api.main | ======================================================================
2026-05-13 20:29:01 | INFO     | api.main | STARTING RAG CHATBOT v3.1
2026-05-13 20:29:01 | INFO     | api.main | ======================================================================
2026-05-13 20:29:01 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-05-13 20:29:07 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-05-13 20:29:07 | INFO     | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-05-13 20:29:07 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:29:07 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:29:07 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event CollectionGetEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:29:08 | INFO     | api.main | ======================================================================
2026-05-13 20:29:08 | INFO     | api.main | INITIALIZING ALL LLM PROVIDERS
2026-05-13 20:29:08 | INFO     | api.main | ======================================================================
2026-05-13 20:29:08 | INFO     | api.main | [1] Initializing Google Gemini...
2026-05-13 20:29:08 | INFO     | api.main | [2] Initializing Groq...
2026-05-13 20:29:08 | INFO     | api.main | [3] Initializing OpenRouter...
2026-05-13 20:29:08 | INFO     | api.main | ======================================================================
2026-05-13 20:30:16 | INFO     | api.main | [CHAT] Query: sandeep
2026-05-13 20:30:16 | INFO     | api.main | ----------------------------------------------------------------------
2026-05-13 20:30:16 | INFO     | api.main | [STEP 1] Retrieve documents
2026-05-13 20:30:16 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event CollectionQueryEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:30:36 | INFO     | api.main | [CHAT] Query: who is sandeep ?
2026-05-13 20:30:36 | INFO     | api.main | ----------------------------------------------------------------------
2026-05-13 20:30:36 | INFO     | api.main | [STEP 1] Retrieve documents
2026-05-13 20:30:37 | INFO     | api.main | [CHAT] Query: who is sandeep ?
2026-05-13 20:30:37 | INFO     | api.main | ----------------------------------------------------------------------
2026-05-13 20:30:37 | INFO     | api.main | [STEP 1] Retrieve documents
2026-05-13 20:30:56 | INFO     | api.main | [CHAT] Query: who is Sandeep ?
2026-05-13 20:30:56 | INFO     | api.main | ----------------------------------------------------------------------
2026-05-13 20:30:56 | INFO     | api.main | [STEP 1] Retrieve documents
2026-05-13 20:31:11 | INFO     | api.main | [CHAT] Query: who is Kausthub ?
2026-05-13 20:31:11 | INFO     | api.main | ----------------------------------------------------------------------
2026-05-13 20:31:11 | INFO     | api.main | [STEP 1] Retrieve documents
2026-05-13 20:31:11 | INFO     | api.main | [STEP 2] Get chat history
2026-05-13 20:31:11 | INFO     | api.main | [STEP 3] Generate LLM response
2026-05-13 20:31:11 | INFO     | api.main | [LLM ATTEMPT 1/3] Provider: Google Gemini
2026-05-13 20:31:13 | INFO     | api.main | [STEP 4] Save to database
2026-05-13 20:41:30 | INFO     | api.main | LogManager initialized. Logs: logs
2026-05-13 20:41:30 | INFO     | api.main | Retention: 15 days
2026-05-13 20:41:31 | INFO     | api.main | ======================================================================
2026-05-13 20:41:31 | INFO     | api.main | STARTING RAG CHATBOT v3.1
2026-05-13 20:41:31 | INFO     | api.main | ======================================================================
2026-05-13 20:41:31 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-05-13 20:41:35 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-05-13 20:41:35 | INFO     | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-05-13 20:41:35 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:41:35 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:41:35 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event CollectionGetEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:41:35 | INFO     | api.main | ======================================================================
2026-05-13 20:41:35 | INFO     | api.main | INITIALIZING ALL LLM PROVIDERS
2026-05-13 20:41:35 | INFO     | api.main | ======================================================================
2026-05-13 20:41:35 | INFO     | api.main | [1] Initializing Google Gemini...
2026-05-13 20:41:35 | INFO     | api.main | [2] Initializing Groq...
2026-05-13 20:41:36 | INFO     | api.main | [3] Initializing OpenRouter...
2026-05-13 20:41:36 | INFO     | api.main | ======================================================================
2026-05-13 20:46:42 | INFO     | api.main | LogManager initialized. Logs: logs
2026-05-13 20:46:42 | INFO     | api.main | Retention: 15 days
2026-05-13 20:46:42 | INFO     | api.main | ======================================================================
2026-05-13 20:46:42 | INFO     | api.main | STARTING RAG CHATBOT v3.1
2026-05-13 20:46:42 | INFO     | api.main | ======================================================================
2026-05-13 20:46:42 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-05-13 20:46:46 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-05-13 20:46:46 | INFO     | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-05-13 20:46:46 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:46:46 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:46:46 | INFO     | api.main | [OK] Retriever initialized
2026-05-13 20:46:47 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event CollectionGetEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:46:47 | INFO     | api.main | [OK] Loaded 10 chunks from default documents
2026-05-13 20:46:47 | INFO     | api.main | ======================================================================
2026-05-13 20:46:47 | INFO     | api.main | INITIALIZING ALL LLM PROVIDERS
2026-05-13 20:46:47 | INFO     | api.main | ======================================================================
2026-05-13 20:46:47 | INFO     | api.main | [1] Initializing Google Gemini...
2026-05-13 20:46:47 | INFO     | api.main | [OK] Google Gemini ready: gemini-2.5-flash
2026-05-13 20:46:47 | INFO     | api.main | [2] Initializing Groq...
2026-05-13 20:46:47 | INFO     | api.main | [OK] Groq ready: llama-3.1-8b-instant
2026-05-13 20:46:47 | INFO     | api.main | [3] Initializing OpenRouter...
2026-05-13 20:46:48 | INFO     | api.main | [OK] OpenRouter ready: meta-llama/llama-3.1-8b-instruct:free
2026-05-13 20:46:48 | INFO     | api.main | [PRIMARY] Primary LLM: gemini-2.5-flash
2026-05-13 20:46:48 | INFO     | api.main | [FALLBACK] Fallback chain: gemini-2.5-flash -> llama-3.1-8b-instant -> meta-llama/llama-3.1-8b-instruct:free
2026-05-13 20:46:48 | INFO     | api.main | ======================================================================
2026-05-13 20:47:35 | INFO     | api.main | LogManager initialized. Logs: logs
2026-05-13 20:47:35 | INFO     | api.main | Retention: 15 days
2026-05-13 20:47:35 | INFO     | api.main | ======================================================================
2026-05-13 20:47:35 | INFO     | api.main | STARTING RAG CHATBOT v3.1
2026-05-13 20:47:35 | INFO     | api.main | ======================================================================
